period,sale_status,deadline_time,sale_time,match_num,league,start_time,home_team,away_team,bet_win,bet_draw,bet_lose
24172期,即将开售,,2024-11-03 20:00:00,12,英冠,2024-11-06,谢周三,诺维奇,3,1,0
24172期,即将开售,,2024-11-03 20:00:00,13,英冠,2024-11-06,普利茅,朴次茅,3,1,0
24172期,即将开售,,2024-11-03 20:00:00,14,英冠,2024-11-06,斯旺西,沃特福,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,1,欧冠,2024-11-07,布鲁日,维 拉,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,2,欧冠,2024-11-07,拜 仁,本菲卡,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,3,欧冠,2024-11-07,红 星,巴 萨,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,4,欧冠,2024-11-07,费耶诺,萨茨堡,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,5,欧冠,2024-11-07,国 米,阿森纳,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,6,欧冠,2024-11-07,日尔曼,马竞技,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,7,欧冠,2024-11-07,布拉格,布雷斯,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,8,欧冠,2024-11-07,斯图加,亚特兰,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,9,欧罗巴,2024-11-06,贝西克,马尔默,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,10,英冠,2024-11-07,布莱克,斯托克,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,11,英冠,2024-11-07,考文垂,德比郡,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,12,英冠,2024-11-07,米尔沃,利 兹,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,13,英冠,2024-11-07,卢 顿,加的夫,3,1,0
24173期,即将开售,,2024-11-03 20:00:00,14,英冠,2024-11-07,普雷斯,桑德兰,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,1,欧罗巴,2024-11-08,博 德,卡拉巴,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,2,欧罗巴,2024-11-08,埃尔夫,布拉加,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,3,欧罗巴,2024-11-08,法兰克,斯拉维,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,4,欧罗巴,2024-11-08,加拉塔,热 刺,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,5,欧罗巴,2024-11-08,卢多戈,毕尔巴,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,6,欧罗巴,2024-11-08,尼 斯,特温特,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,7,欧罗巴,2024-11-08,奥林匹,流浪者,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,8,欧罗巴,2024-11-08,布加勒,中日兰,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,9,欧罗巴,2024-11-08,圣吉联,罗 马,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,10,欧罗巴,2024-11-08,阿尔克,费内巴,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,11,欧罗巴,2024-11-08,霍芬海,里 昂,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,12,欧罗巴,2024-11-08,拉齐奥,波尔图,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,13,欧罗巴,2024-11-08,曼 联,塞萨洛,3,1,0
24174期,即将开售,,2024-11-03 20:00:00,14,欧罗巴,2024-11-08,比尔森,社 会,3,1,0
